title,author,dynasty,content,tags
江畔独步寻花,杜甫,唐,"黄师塔前江水东，春光懒困倚微风。桃花一簇开无主，可爱深红爱浅红？","{""春天"",""写景"",""抒情""}"
枫桥夜泊,张继,唐,"月落乌啼霜满天，江枫渔火对愁眠。姑苏城外寒山寺，夜半钟声到客船。","{""秋天"",""写景"",""抒情"",""地名""}"
滁州西涧,韦应物,唐,"独怜幽草涧边生，上有黄鹂深树鸣。春潮带雨晚来急，野渡无人舟自横。","{""写景"",""山水"",""春天""}"
游子吟,孟郊,唐,"慈母手中线，游子身上衣。临行密密缝，意恐迟迟归。谁言寸草心，报得三春晖。","{""抒情"",""母爱"",""感恩""}"
早春呈水部张十八员外,韩愈,唐,"天街小雨润如酥，草色遥看近却无。最是一年春好处，绝胜烟柳满皇都。","{""春天"",""写景"",""抒情""}"
渔歌子,张志和,唐,"西塞山前白鹭飞，桃花流水鳜鱼肥。青箬笠，绿蓑衣，斜风细雨不须归。","{""山水"",""田园"",""春天""}"
塞下曲,卢纶,唐,"月黑雁飞高，单于夜遁逃。欲将轻骑逐，大雪满弓刀。","{""边塞"",""战争"",""冬天"",""雪""}"
望洞庭,刘禹锡,唐,"湖光秋月两相和，潭面无风镜未磨。遥望洞庭山水色，白银盘里一青螺。","{""写景"",""山水"",""秋天"",""月亮""}"
浪淘沙,刘禹锡,唐,"九曲黄河万里沙，浪淘风簸自天涯。如今直上银河去，同到牵牛织女家。","{""抒情"",""黄河"",""神话""}"
赋得古原草送别,白居易,唐,"离离原上草，一岁一枯荣。野火烧不尽，春风吹又生。远芳侵古道，晴翠接荒城。又送王孙去，萋萋满别情。","{""送别"",""春天"",""哲理""}"
池上,白居易,唐,"小娃撑小艇，偷采白莲回。不解藏踪迹，浮萍一道开。","{""写景"",""夏天"",""荷花"",""儿童""}"
忆江南,白居易,唐,"江南好，风景旧曾谙。日出江花红胜火，春来江水绿如蓝，能不忆江南？","{""抒情"",""写景"",""春天"",""地名""}"
小儿垂钓,胡令能,唐,"蓬头稚子学垂纶，侧坐莓苔草映身。路人借问遥招手，怕得鱼惊不应人。","{""写人"",""儿童"",""田园""}"
悯农,李绅,唐,"锄禾日当午，汗滴禾下土。谁知盘中餐，粒粒皆辛苦。","{""哲理"",""励志"",""田园""}"
悯农,李绅,唐,"春种一粒粟，秋收万颗子。四海无闲田，农夫犹饿死。","{""哲理"",""社会"",""田园""}"
江雪,柳宗元,唐,"千山鸟飞绝，万径人踪灭。孤舟蓑笠翁，独钓寒江雪。","{""冬天"",""雪"",""山水"",""哲理""}"
寻隐者不遇,贾岛,唐,"松下问童子，言师采药去。只在此山中，云深不知处。","{""山水"",""哲理"",""写人""}"
山行,杜牧,唐,"远上寒山石径斜，白云深处有人家。停车坐爱枫林晚，霜叶红于二月花。","{""秋天"",""写景"",""山水""}"
清明,杜牧,唐,"清明时节雨纷纷，路上行人欲断魂。借问酒家何处有，牧童遥指杏花村。","{""节日"",""清明节"",""抒情""}"
江南春,杜牧,唐,"千里莺啼绿映红，水村山郭酒旗风。南朝四百八十寺，多少楼台烟雨中。","{""春天"",""写景"",""怀古""}"
蜂,罗隐,唐,"不论平地与山尖，无限风光尽被占。采得百花成蜜后，为谁辛苦为谁甜。","{""咏物"",""哲理"",""社会""}"
江上渔者,范仲淹,宋,"江上往来人，但爱鲈鱼美。君看一叶舟，出没风波里。","{""哲理"",""社会"",""写景""}"
元日,王安石,宋,"爆竹声中一岁除，春风送暖入屠苏。千门万户曈曈日，总把新桃换旧符。","{""节日"",""春节"",""抒情""}"
泊船瓜洲,王安石,宋,"京口瓜洲一水间，钟山只隔数重山。春风又绿江南岸，明月何时照我还。","{""思乡"",""春天"",""抒情""}"
书湖阴先生壁,王安石,宋,"茅檐长扫净无苔，花木成畦手自栽。一水护田将绿绕，两山排闼送青来。","{""田园"",""写景"",""抒情""}"
六月二十七日望湖楼醉书,苏轼,宋,"黑云翻墨未遮山，白雨跳珠乱入船。卷地风来忽吹散，望湖楼下水如天。","{""夏天"",""写景"",""豪放""}"
饮湖上初晴后雨,苏轼,宋,"水光潋滟晴方好，山色空蒙雨亦奇。欲把西湖比西子，淡妆浓抹总相宜。","{""写景"",""山水"",""抒情""}"
惠崇春江晓景,苏轼,宋,"竹外桃花三两枝，春江水暖鸭先知。蒌蒿满地芦芽短，正是河豚欲上时。","{""春天"",""写景"",""哲理""}"
题西林壁,苏轼,宋,"横看成岭侧成峰，远近高低各不同。不识庐山真面目，只缘身在此山中。","{""哲理"",""山水"",""抒情""}"
夏日绝句,李清照,宋,"生当作人杰，死亦为鬼雄。至今思项羽，不肯过江东。","{""爱国"",""豪放"",""怀古""}"
三衢道中,曾几,宋,"梅子黄时日日晴，小溪泛尽却山行。绿阴不减来时路，添得黄鹂四五声。","{""夏天"",""写景"",""山水""}"
示儿,陆游,宋,"死去元知万事空，但悲不见九州同。王师北定中原日，家祭无忘告乃翁。","{""爱国"",""抒情"",""哲理""}"
秋夜将晓出篱门迎凉有感,陆游,宋,"三万里河东入海，五千仞岳上摩天。遗民泪尽胡尘里，南望王师又一年。","{""爱国"",""抒情"",""秋天""}"
四时田园杂兴,范成大,宋,"昼出耘田夜绩麻，村庄儿女各当家。童孙未解供耕织，也傍桑阴学种瓜。","{""田园"",""夏天"",""儿童""}"
四时田园杂兴,范成大,宋,"梅子金黄杏子肥，麦花雪白菜花稀。日长篱落无人过，唯有蜻蜓蛱蝶飞。","{""田园"",""夏天"",""写景""}"
小池,杨万里,宋,"泉眼无声惜细流，树阴照水爱晴柔。小荷才露尖尖角，早有蜻蜓立上头。","{""夏天"",""写景"",""荷花""}"
晓出净慈寺送林子方,杨万里,宋,"毕竟西湖六月中，风光不与四时同。接天莲叶无穷碧，映日荷花别样红。","{""夏天"",""写景"",""荷花""}"
春日,朱熹,宋,"胜日寻芳泗水滨，无边光景一时新。等闲识得东风面，万紫千红总是春。","{""春天"",""哲理"",""抒情""}"
观书有感,朱熹,宋,"半亩方塘一鉴开，天光云影共徘徊。问渠那得清如许？为有源头活水来。","{""哲理"",""励志"",""抒情""}"
题临安邸,林升,宋,"山外青山楼外楼，西湖歌舞几时休？暖风熏得游人醉，直把杭州作汴州。","{""爱国"",""抒情"",""怀古""}"
和晋陵陆丞早春游望,杜审言,唐,"独有宦游人，偏惊物候新。云霞出海曙，梅柳渡江春。淑气催黄鸟，晴光转绿苹。忽闻歌古调，归思欲沾巾。","{""春天"",""思乡"",""抒情""}"
送杜少府之任蜀州,王勃,唐,"城阙辅三秦，风烟望五津。与君离别意，同是宦游人。海内存知己，天涯若比邻。无为在歧路，儿女共沾巾。","{""送别"",""友情"",""励志""}"
在狱咏蝉,骆宾王,唐,"西陆蝉声唱，南冠客思侵。那堪玄鬓影，来对白头吟。露重飞难进，风多响易沉。无人信高洁，谁为表予心。","{""抒情"",""咏物"",""哲理""}"
登幽州台歌,陈子昂,唐,"前不见古人，后不见来者。念天地之悠悠，独怆然而涕下。","{""抒情"",""哲理"",""怀古""}"
送魏大从军,陈子昂,唐,"匈奴犹未灭，魏绛复从戎。帐别三河道，言追六郡雄。雁山横代北，狐塞接云中。勿使燕然上，惟留汉将功！","{""边塞"",""战争"",""励志""}"
春江花月夜,张若虚,唐,"春江潮水连海平，海上明月共潮生。滟滟随波千万里，何处春江无月明。江流宛转绕芳甸，月照花林皆似霰。空里流霜不觉飞，汀上白沙看不见。江天一色无纤尘，皎皎空中孤月轮。江畔何人初见月？江月何年初照人？人生代代无穷已，江月年年望相似。不知江月待何人，但见长江送流水。白云一片去悠悠，青枫浦上不胜愁。谁家今夜扁舟子？何处相思明月楼？可怜楼上月徘徊，应照离人妆镜台。玉户帘中卷不去，捣衣砧上拂还来。此时相望不相闻，愿逐月华流照君。鸿雁长飞光不度，鱼龙潜跃水成文。昨夜闲潭梦落花，可怜春半不还家。江水流春去欲尽，江潭落月复西斜。斜月沉沉藏海雾，碣石潇湘无限路。不知乘月几人归，落月摇情满江树。","{""抒情"",""月亮"",""春天"",""哲理""}"
山居秋暝,王维,唐,"空山新雨后，天气晚来秋。明月松间照，清泉石上流。竹喧归浣女，莲动下渔舟。随意春芳歇，王孙自可留。","{""秋天"",""山水"",""田园""}"
鸟鸣涧,王维,唐,"人闲桂花落，夜静春山空。月出惊山鸟，时鸣春涧中。","{""春天"",""山水"",""抒情""}"
过故人庄,孟浩然,唐,"故人具鸡黍，邀我至田家。绿树村边合，青山郭外斜。开轩面场圃，把酒话桑麻。待到重阳日，还来就菊花。","{""田园"",""友情"",""节日""}"
宿建德江,孟浩然,唐,"移舟泊烟渚，日暮客愁新。野旷天低树，江清月近人。","{""抒情"",""山水"",""月亮""}"
走马川行奉送封大夫出师西征,岑参,唐,"君不见走马川行雪海边，平沙莽莽黄入天。轮台九月风夜吼，一川碎石大如斗，随风满地石乱走。匈奴草黄马正肥，金山西见烟尘飞，汉家大将西出师。将军金甲夜不脱，半夜军行戈相拨，风头如刀面如割。马毛带雪汗气蒸，五花连钱旋作冰，幕中草檄砚水凝。虏骑闻之应胆慑，料知短兵不敢接，车师西门伫献捷。","{""边塞"",""战争"",""豪放"",""冬天""}"
